,person,cluster,centroid_latitude,centroid_longitude,count,count_per_person,mean_duration_mins_weekend,mean_duration_mins_workday,mean_start_mins_of_day_weekend,mean_start_mins_of_day_workday,std_duration_mins_weekend,std_duration_mins_workday,std_start_mins_of_day_weekend,std_start_mins_of_day_workday,min_duration_mins_weekend,min_duration_mins_workday,min_start_mins_of_day_weekend,min_start_mins_of_day_workday,max_duration_mins_weekend,max_duration_mins_workday,max_start_mins_of_day_weekend,max_start_mins_of_day_workday,count_duration_mins_weekend,count_duration_mins_workday,count_start_mins_of_day_weekend,count_start_mins_of_day_workday
101,person2,25,50.88669066666666,4.305832666666666,3,3,0.0,34.333333333333336,0.0,571.6666666666666,0.0,23.072349974229613,0.0,47.50087718488297,0,8,0,538,0,51,0,626,0,3,0,3
102,person2,26,50.911404,4.3393416,1,1,0.0,1.0,0.0,690.0,,,,,0,1,0,690,0,1,0,690,0,1,0,1
103,person2,27,50.908875,4.4468193,1,1,0.0,2.0,0.0,696.0,,,,,0,2,0,696,0,2,0,696,0,1,0,1
104,person2,28,51.13729575000001,4.428786400000001,4,1,0.0,2.0,0.0,707.0,,,,,0,2,0,707,0,2,0,707,0,1,0,1
105,person2,29,51.202387,4.429551,2,1,0.0,178.0,0.0,1193.0,,,,,0,178,0,1193,0,178,0,1193,0,1,0,1
106,person2,30,51.245445083333344,4.417395783333333,12,10,38.7,0.0,1155.1,0.0,49.89555758448508,0.0,44.00871125887086,0.0,0,0,1115,0,140,0,1264,0,10,0,10,0
107,person2,31,51.125263000000004,4.4296446,1,1,0.0,1.0,0.0,563.0,,,,,0,1,0,563,0,1,0,563,0,1,0,1
108,person2,32,51.035126500000004,4.44446705,2,2,0.0,1.5,0.0,801.0,0.0,0.7071067811865476,0.0,326.683332908185,0,1,0,570,0,2,0,1032,0,2,0,2
109,person2,33,50.868217,4.4530015,1,1,0.0,2.0,0.0,586.0,,,,,0,2,0,586,0,2,0,586,0,1,0,1
110,person2,34,50.8920085,4.451742899999999,2,2,0.0,67.0,0.0,806.0,0.0,93.33809511662427,0.0,291.3279938488576,0,1,0,600,0,133,0,1012,0,2,0,2
111,person2,35,50.88208,4.448717,1,1,0.0,6.0,0.0,743.0,,,,,0,6,0,743,0,6,0,743,0,1,0,1
112,person2,36,51.041637,4.454253700000001,1,1,0.0,1.0,0.0,756.0,,,,,0,1,0,756,0,1,0,756,0,1,0,1
113,person2,37,51.211174,4.4790525,1,1,0.0,11.0,0.0,1071.0,,,,,0,11,0,1071,0,11,0,1071,0,1,0,1
114,person2,38,51.08473,4.8591003,1,1,0.0,2.0,0.0,1091.0,,,,,0,2,0,1091,0,2,0,1091,0,1,0,1
115,person2,39,51.20001,4.595795,1,1,0.0,0.0,0.0,1342.0,,,,,0,0,0,1342,0,0,0,1342,0,1,0,1
116,person2,40,51.101565,4.0425497,2,2,1.0,4.0,1328.0,954.0,,,,,1,4,1328,954,1,4,1328,954,1,1,1,1
