,person,cluster,centroid_latitude,centroid_longitude,count,count_per_person,mean_duration_mins_weekend,mean_duration_mins_workday,mean_start_mins_of_day_weekend,mean_start_mins_of_day_workday,std_duration_mins_weekend,std_duration_mins_workday,std_start_mins_of_day_weekend,std_start_mins_of_day_workday,min_duration_mins_weekend,min_duration_mins_workday,min_start_mins_of_day_weekend,min_start_mins_of_day_workday,max_duration_mins_weekend,max_duration_mins_workday,max_start_mins_of_day_weekend,max_start_mins_of_day_workday,count_duration_mins_weekend,count_duration_mins_workday,count_start_mins_of_day_weekend,count_start_mins_of_day_workday
218,person3,132,50.9349752,4.86019758,5,5,1.3333333333333333,2.0,767.3333333333334,400.0,0.5773502691896257,1.4142135623730951,322.52493443660035,2.8284271247461903,1,1,561,398,2,3,1139,402,3,2,3,2
219,person3,133,51.009098,4.605842,1,1,0.0,150.0,0.0,1110.0,,,,,0,150,0,1110,0,150,0,1110,0,1,0,1
220,person3,134,50.960423,4.9027449999999995,1,1,1.0,0.0,619.0,0.0,,,,,1,0,619,0,1,0,619,0,1,0,1,0
221,person3,135,50.94887,4.9282355,1,1,1.0,0.0,626.0,0.0,,,,,1,0,626,0,1,0,626,0,1,0,1,0
222,person3,136,51.06903,4.446457,1,1,0.0,0.0,658.0,0.0,,,,,0,0,658,0,0,0,658,0,1,0,1,0
223,person3,137,50.902084,4.640617400000001,1,1,5.0,0.0,1120.0,0.0,,,,,5,0,1120,0,5,0,1120,0,1,0,1,0
224,person3,138,50.95389,4.8385362999999995,1,1,0.0,1.0,0.0,394.0,,,,,0,1,0,394,0,1,0,394,0,1,0,1
225,person3,139,50.9599635,4.58662775,4,4,0.0,6.75,0.0,1207.75,0.0,4.573474244670748,0.0,29.736341402398544,0,2,0,1176,0,12,0,1236,0,4,0,4
226,person3,140,50.886505,4.7093029,2,2,0.0,3.0,0.0,1206.5,0.0,4.242640687119285,0.0,26.16295090390226,0,0,0,1188,0,6,0,1225,0,2,0,2
227,person3,141,50.960390000000004,4.814589499999999,1,1,0.0,1.0,0.0,402.0,,,,,0,1,0,402,0,1,0,402,0,1,0,1
228,person3,142,50.943027,4.8393774,1,1,0.0,0.0,0.0,409.0,,,,,0,0,0,409,0,0,0,409,0,1,0,1
229,person3,143,50.984676,4.5427800000000005,1,1,0.0,0.0,0.0,442.0,,,,,0,0,0,442,0,0,0,442,0,1,0,1
230,person3,144,50.941720000000004,4.874399700000001,1,1,1.0,0.0,588.0,0.0,,,,,1,0,588,0,1,0,588,0,1,0,1,0
231,person3,145,50.97976,4.5544543,1,1,4.0,0.0,618.0,0.0,,,,,4,0,618,0,4,0,618,0,1,0,1,0
232,person3,146,51.089806,4.4402313,1,1,0.0,1.0,0.0,1055.0,,,,,0,1,0,1055,0,1,0,1055,0,1,0,1
233,person3,147,50.910187,4.6692480000000005,1,1,0.0,0.0,0.0,1084.0,,,,,0,0,0,1084,0,0,0,1084,0,1,0,1
234,person3,148,50.94809,4.8386455,1,1,0.0,2.0,0.0,401.0,,,,,0,2,0,401,0,2,0,401,0,1,0,1
235,person3,149,50.960905000000004,4.60123445,2,2,0.0,2.0,0.0,425.0,0.0,1.4142135623730951,0.0,15.556349186104045,0,1,0,414,0,3,0,436,0,2,0,2
236,person3,150,51.042057,4.389604866666667,3,3,810.0,400.0,1053.0,755.0,0.0,560.0285706997456,0.0,435.57777721091327,810,4,1053,447,810,796,1053,1063,1,2,1,2
237,person3,151,50.93553,4.624388,1,1,0.0,3.0,0.0,1215.0,,,,,0,3,0,1215,0,3,0,1215,0,1,0,1
238,person3,152,50.86385,4.747266000000001,1,1,2.0,0.0,591.0,0.0,,,,,2,0,591,0,2,0,591,0,1,0,1,0
239,person3,153,51.058926,4.449959,1,1,0.0,1.0,0.0,1187.0,,,,,0,1,0,1187,0,1,0,1187,0,1,0,1
240,person3,154,50.940909999999995,4.610051,1,1,0.0,0.0,0.0,1214.0,,,,,0,0,0,1214,0,0,0,1214,0,1,0,1
241,person3,155,50.938347,4.753484200000001,1,1,0.0,0.0,0.0,1260.0,,,,,0,0,0,1260,0,0,0,1260,0,1,0,1
242,person3,156,50.96885,4.694481,1,1,0.0,3.0,0.0,400.0,,,,,0,3,0,400,0,3,0,400,0,1,0,1
243,person3,157,51.1806165,4.3899293,2,1,0.0,2.0,0.0,745.0,,,,,0,2,0,745,0,2,0,745,0,1,0,1
244,person3,158,51.195023,4.3819265,1,1,0.0,9.0,0.0,1186.0,,,,,0,9,0,1186,0,9,0,1186,0,1,0,1
245,person3,159,50.976196,4.915712,1,1,19.0,0.0,616.0,0.0,,,,,19,0,616,0,19,0,616,0,1,0,1,0
246,person3,160,51.036938,4.428427,1,1,3.0,0.0,1042.0,0.0,,,,,3,0,1042,0,3,0,1042,0,1,0,1,0
247,person3,161,51.04931,4.453596,1,1,0.0,3.0,0.0,1047.0,,,,,0,3,0,1047,0,3,0,1047,0,1,0,1
248,person3,162,50.955709999999996,4.8045464,1,1,0.0,1.0,0.0,1082.0,,,,,0,1,0,1082,0,1,0,1082,0,1,0,1
